# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.9695528	-5.6600147e-05	0	-0.024999993	0	0
0	-0.9688059	-5.9020753e-05	0	-0.023999993	0	0
0	-0.96802896	-6.170549e-05	0	-0.023	0	0
0	-0.9672201	-6.4695516e-05	0	-0.022000011	0	0
0	-0.96637726	-6.805621e-05	0	-0.021000009	0	0
0	-0.9654982	-7.188892e-05	0	-0.019999998	0	0
0	-0.96458066	-7.620223e-05	0	-0.018999996	0	0
0	-0.9636218	-8.1191276e-05	0	-0.018000005	0	0
0	-0.96261877	-8.698282e-05	0	-0.016999999	0	0
0	-0.96156836	-9.372245e-05	0	-0.016	0	0
0	-0.96046686	-0.00010185892	0	-0.014999993	0	0
0	-0.9593106	-0.00011171092	0	-0.0139999995	0	0
0	-0.95809525	-0.00012371737	0	-0.013000003	0	0
0	-0.9568159	-0.00013863848	0	-0.011999996	0	0
0	-0.95546687	-0.00015793773	0	-0.0110000055	0	0
0	-0.95404273	-0.00018269237	0	-0.009999999	0	0
0	-0.9525361	-0.00021593536	0	-0.009000002	0	0
0	-0.9509398	-0.00026096287	0	-0.008	0	0
0	-0.94924504	-0.00032194017	0	-0.0069999998	0	0
0	-0.94744176	-0.00040752665	0	-0.005999998	0	0
0	-0.9455192	-0.00052726193	0	-0.0049999994	0	0
0	-0.943465	-0.0006936314	0	-0.004	0	0
0	-0.94126403	-0.0009253804	0	-0.002999999	0	0
0	-0.93890077	-0.0012424721	0	-0.002	0	0
0	-0.9363562	-0.0016658719	0	-0.001	0	0
0	-0.9336084	-0.0022096941	0	0	0	0
0	-0.93063086	-0.0028653648	0	0.001	0	0
0	-0.8375007	-0.17539021	0	0.002	0	0
0	-0.8137571	-0.18859717	0	0.002999999	0	0
0	-0.77963984	-0.20637745	0	0.004	0	0
0	-0.72379196	-0.23658586	0	0.0049999994	0	0
0	-0.5462373	-0.26398575	0	0.005999998	0	0
0	-0.4746474	-0.29176658	0	0.0069999998	0	0
0	-0.3859431	-0.34980184	0	0.008	0	0
0	-0.22456096	-0.47766912	0	0.009000002	0	0
0	0.62470734	-0.4204782	0	0.009999999	0	0
0	0.65650654	-0.4050683	0	0.0110000055	0	0
0	0.6840284	-0.39082295	0	0.011999996	0	0
0	0.7083776	-0.37755224	0	0.013000003	0	0
0	0.7295102	-0.36589655	0	0.0139999995	0	0
